action,obs,reward
1,"[4.6000007e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 5.7999998e-01 8.4568295e-05
 5.5490651e-05]",-4.23290468659252e-05
1,"[4.8000005e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 6.0000002e-01 8.4108557e-05
 5.2011284e-05]",1.969554019160571e-06
1,"[5.0000006e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 6.2000000e-01 7.5941767e-05
 3.9564653e-05]",1.0306707529816774e-05
1,"[5.2000004e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 6.3999999e-01 6.5485277e-05
 3.7975649e-05]",6.022749051917344e-06
1,"[5.400001e-01 0.000000e+00 0.000000e+00 4.000000e-02 0.000000e+00
 2.000000e-02 0.000000e+00 2.000000e-02 6.600000e-01 8.618415e-05
 5.195362e-05]",-1.7338419528678066e-05
1,"[5.6000006e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 6.8000001e-01 7.7882243e-05
 5.2704774e-05]",3.7753745820373345e-06
1,"[5.8000004e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 6.9999999e-01 8.7468907e-05
 5.0171915e-05]",-3.526903372257948e-06
1,"[5.9999996e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 7.2000003e-01 1.4965242e-04
 8.5496933e-05]",-4.8754265839233996e-05
1,"[6.1999995e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 7.4000001e-01 1.4288623e-04
 8.8399509e-05]",1.931806826032696e-06
1,"[6.3999993e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 7.5999999e-01 8.6149019e-05
 5.1628227e-05]",4.6754247387871154e-05
1,"[6.5999991e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 7.7999997e-01 1.0216547e-04
 5.7409732e-05]",-1.0898978249169888e-05
1,"[6.7999989e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 8.0000001e-01 1.0004107e-04
 6.5658889e-05]",-3.0623801238834796e-06
1,"[6.9999987e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 8.1999999e-01 9.1485308e-05
 5.6417968e-05]",8.898345292545851e-06
4,"[6.9999987e-01 0.0000000e+00 0.0000000e+00 6.0000002e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 8.3999997e-01 7.2350376e-05
 3.9919978e-05]",1.7816457021981478e-05
2,"[6.9999987e-01 2.0000000e-02 0.0000000e+00 6.0000002e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 8.6000001e-01 5.8909827e-05
 2.2818129e-05]",1.527120075188577e-05
1,"[7.1999979e-01 2.0000000e-02 0.0000000e+00 6.0000002e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 8.8000000e-01 4.4975015e-05
 4.1056945e-05]",-2.1520024910569203e-06
2,"[7.1999979e-01 3.9999999e-02 0.0000000e+00 6.0000002e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 8.9999998e-01 3.2920922e-05
 3.4657744e-05]",9.226648984476922e-06
1,"[7.3999977e-01 3.9999999e-02 0.0000000e+00 6.0000002e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 9.2000002e-01 5.8462130e-05
 5.3079191e-05]",-2.1981330048292873e-05
1,"[7.5999975e-01 3.9999999e-02 0.0000000e+00 6.0000002e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 9.4000000e-01 8.1668331e-05
 4.9872531e-05]",-9.999770298600195e-06
5,"[7.5999975e-01 3.9999999e-02 0.0000000e+00 6.0000002e-02 2.0000000e-02
 2.0000000e-02 0.0000000e+00 2.0000000e-02 9.5999998e-01 3.3516542e-05
 3.3294153e-05]",3.236508391331881e-05
7,"[7.5999975e-01 3.9999999e-02 0.0000000e+00 6.0000002e-02 2.0000000e-02
 2.0000000e-02 2.0000001e-02 2.0000000e-02 9.8000002e-01 3.0846779e-05
 3.8607333e-05]",-1.3217082060873527e-06
7,"[7.5999975e-01 3.9999999e-02 0.0000000e+00 6.0000002e-02 2.0000000e-02
 2.0000000e-02 4.0000003e-02 2.0000000e-02 1.0000000e+00 3.2829641e-05
 4.2908221e-05]",-3.1418752577155826e-06
