action_level_PV,action_level_Substation1,action_level_Substation2,action_level_Compressor1,action_level_Compressor2,action_level_Compressor3,action_level_ThermalUnit,action_level_LNG,intended_height_PV,intended_height_Substation1,intended_height_Substation2,intended_height_Compressor1,intended_height_Compressor2,intended_height_Compressor3,intended_height_ThermalUnit,intended_height_LNG,executed_height_PV,executed_height_Substation1,executed_height_Substation2,executed_height_Compressor1,executed_height_Compressor2,executed_height_Compressor3,executed_height_ThermalUnit,executed_height_LNG,weight_W_g,weight_W_e,weight_W_ge,weight_W_gs,weight_W_ee,weight_W_es,cost_PV,cost_Substation1,cost_Substation2,cost_Compressor1,cost_Compressor2,cost_Compressor3,cost_ThermalUnit,cost_LNG,econ_impact,social_impact,action_gain,climate_drift,prev_loss,base_loss,new_loss,repeat_penalty,cost_penalty,normalized_cost,repeat_penalty_assets,trimmed_assets,total_cost,unused_budget,sea_level_offset,sea_level_delta,climate_scenario,reward,obs_json,year,episode,step_in_episode
6,2,0,0,0,3,0,0,3.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8,0.2,0.466667,0.533333,0.466667,0.533333,269077.9,88181.63,0.0,0.0,0.0,82818.43,0.0,0.0,0.0074900053441524506,0.003238061093725264,0.0016821958240036666,0.0001908495341988543,0.004199204118386205,0.0043900536525850594,0.002707857828581393,0.0,1.760311875,0.8801559375,[],[],440077.96875,59922.03125,0.15328671038150787,0.15328671038150787,SSP5-8.5,5.696419574024061,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005202040076255798, 0.0038093512412160635]",0,0,0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.433333,0.566667,0.433333,0.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007626894861459732,0.003389140125364065,0.0,9.006420740419749e-05,0.002664495976655743,0.0027545601840599405,0.0027545601840599405,0.0,0.0,0.0,[],[],0.0,500000.0,0.21105779707431793,0.05777108669281006,SSP5-8.5,-0.45032103702098747,"[0.013333333656191826, 0.004444444552063942, 0.0, 0.0, 0.0, 0.006666666828095913, 0.0, 0.0, 0.06666667014360428, 0.019160838797688484, 0.0037450026720762253, 0.0016190304886549711]",5,0,1
0,2,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.2,0.4,0.6,0.4,0.6,0.0,88181.63,0.0,0.0,0.0,0.0,0.0,54282.16,0.007500688312575221,0.0033059228444471955,9.313207527090464e-05,2.0983606479185474e-05,0.0027102327640915473,0.002731216370570733,0.002638084295299828,0.0,0.5698551875,0.28492759375,[],[],142463.796875,357536.203125,0.278674840927124,0.06761704385280609,SSP5-8.5,-0.20911284354140414,"[0.013333333656191826, 0.004444444552063942, 0.0, 0.0, 0.0, 0.006666666828095913, 0.0, 0.0, 0.13333334028720856, 0.02638222463428974, 0.003813447430729866, 0.0016945700626820326]",10,0,2
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.366667,0.633333,0.366667,0.633333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007378925336524844,0.003385210409760475,0.0,1.5565018703757663e-06,0.0025936730144426106,0.0025952295163129864,0.0025952295163129864,0.0,0.0,0.0,[],[],0.0,500000.0,0.36945390701293945,0.09077906608581543,SSP5-8.5,-0.007782509351878832,"[0.013333333656191826, 0.008888889104127884, 0.0, 0.0, 0.0, 0.006666666828095913, 0.0, 0.002222222276031971, 0.20000000298023224, 0.0348343551158905, 0.0037503442727029324, 0.0016529613640159369]",15,0,3
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.333333,0.666667,0.333333,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077719977125525475,0.003583946730941534,0.0,0.00013825877820456463,0.002553659963305439,0.0026919187415100037,0.0026919187415100037,0.0,0.0,0.0,[],[],0.0,500000.0,0.40057528018951416,0.031121373176574707,SSP5-8.5,-0.6912938910228231,"[0.013333333656191826, 0.008888889104127884, 0.0, 0.0, 0.0, 0.006666666828095913, 0.0, 0.002222222276031971, 0.2666666805744171, 0.04618173837661743, 0.003689462784677744, 0.0016926052048802376]",20,0,4
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.3,0.7,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007588375825434923,0.003611946478486061,0.0,-3.240066726680705e-05,0.002647431492286005,0.002615030825019198,0.002615030825019198,0.0,0.0,0.0,[],[],0.0,500000.0,0.5230856537818909,0.12251037359237671,SSP5-8.5,0.16200333633403524,"[0.013333333656191826, 0.008888889104127884, 0.0, 0.0, 0.0, 0.006666666828095913, 0.0, 0.002222222276031971, 0.3333333432674408, 0.05007191002368927, 0.0038859988562762737, 0.001791973365470767]",25,0,5
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.266667,0.733333,0.266667,0.733333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007919732015579939,0.003938838490284979,0.0,0.00017590339204391668,0.002573281639024695,0.0027491850310686116,0.0027491850310686116,0.0,0.0,0.0,[],[],0.0,500000.0,0.6308752298355103,0.10778957605361938,SSP5-8.5,-0.8795169602195835,"[0.013333333656191826, 0.008888889104127884, 0.0, 0.0, 0.0, 0.006666666828095913, 0.0, 0.002222222276031971, 0.4000000059604645, 0.06538570672273636, 0.0037941879127174616, 0.0018059732392430305]",30,0,6
0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.233333,0.766667,0.233333,0.766667,0.0,38383.28,0.0,0.0,0.0,0.0,0.0,0.0,0.007978254929184914,0.003969084937125444,1.7810373419294666e-05,3.6894259554361066e-05,0.0027070222039280367,0.0027439164634823978,0.002726106090063103,0.0,0.153533125,0.0767665625,[],[],38383.28125,461616.71875,0.6611928939819336,0.03031766414642334,SSP5-8.5,-0.24895255567533198,"[0.013333333656191826, 0.008888889104127884, 0.0, 0.0, 0.0, 0.006666666828095913, 0.0, 0.002222222276031971, 0.46666666865348816, 0.07885940372943878, 0.003959866240620613, 0.0019694191869348288]",35,0,7
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.2,0.8,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00794737646356225,0.004060966079123318,0.0,-1.911986676215397e-06,0.0026834993491619613,0.002681587362485746,0.002681587362485746,0.0,0.0,0.0,[],[],0.0,500000.0,0.7727441191673279,0.11155122518539429,SSP5-8.5,0.009559933381076986,"[0.013333333656191826, 0.011111111380159855, 0.0, 0.0, 0.0, 0.006666666828095913, 0.0, 0.002222222276031971, 0.5333333611488342, 0.0826491117477417, 0.003989127464592457, 0.001984542468562722]",40,0,8
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.166667,0.833333,0.166667,0.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008103587199002504,0.004165956052020192,0.0,6.072366255586645e-05,0.002640894533431091,0.0027016181959869574,0.0027016181959869574,0.0,0.0,0.0,[],[],0.0,500000.0,0.8897969126701355,0.11705279350280762,SSP5-8.5,-0.30361831277933227,"[0.013333333656191826, 0.011111111380159855, 0.0, 0.0, 0.0, 0.006666666828095913, 0.0, 0.002222222276031971, 0.6000000238418579, 0.09659301489591599, 0.003973687998950481, 0.002030482981353998]",45,0,9
